date,hour,time_block,purchase_bid_(mw),sell_bid_(mw),mcv_(mw),final_scheduled_volume_(mw),mcp_(rs/mwh)_*,imbalance,price_change,execution_ratio,start_time,timestamp
24-05-2026,22,21:00 - 21:15,22872.6,2824.5,2824.5,2824.5,10000.0,20048.1,0.0,0.12348836599249759,21:00,2026-05-24 21:00:00
24-05-2026,22,21:15 - 21:30,22915.3,2710.4,2710.38,2710.38,10000.0,20204.899999999998,0.0,0.11827818095333686,21:15,2026-05-24 21:15:00
24-05-2026,22,21:30 - 21:45,23152.9,2659.8,2659.79,2659.79,10000.0,20493.100000000002,0.0,0.1148793455679418,21:30,2026-05-24 21:30:00
24-05-2026,22,21:45 - 22:00,23763.3,2594.2,2594.19,2594.19,10000.0,21169.1,0.0,0.10916791859716454,21:45,2026-05-24 21:45:00
24-05-2026,23,22:00 - 22:15,28881.9,2372.1,2372.1,2372.1,10000.0,26509.800000000003,0.0,0.08213102323600593,22:00,2026-05-24 22:00:00
24-05-2026,23,22:15 - 22:30,29861.4,2355.1,2355.06,2355.06,10000.0,27506.300000000003,0.0,0.07886636259518977,22:15,2026-05-24 22:15:00
24-05-2026,23,22:30 - 22:45,30319.4,2352.0,2352.0,2352.0,10000.0,27967.4,0.0,0.07757409447416505,22:30,2026-05-24 22:30:00
24-05-2026,23,22:45 - 23:00,30590.0,2355.5,2355.5,2355.5,10000.0,28234.5,0.0,0.07700228832951946,22:45,2026-05-24 22:45:00
24-05-2026,24,23:00 - 23:15,30253.4,2270.9,2270.9,2270.9,10000.0,27982.5,0.0,0.07506263758784136,23:00,2026-05-24 23:00:00
24-05-2026,24,23:15 - 23:30,30855.9,2201.4,2201.37,2201.37,10000.0,28654.5,0.0,0.07134356800482242,23:15,2026-05-24 23:15:00
24-05-2026,24,23:30 - 23:45,30406.0,2205.4,2205.39,2205.39,10000.0,28200.6,0.0,0.07253140827468263,23:30,2026-05-24 23:30:00
24-05-2026,24,23:45 - 24:00,29933.9,2181.9,2181.9,2181.9,10000.0,27752.0,0.0,0.07289060229372049,23:45,2026-05-24 23:45:00
